potential_fn,dimension,mean_JS_single,mean_JS_ens,paired_t_JS_t,paired_t_JS_p,cohen_d_JS,n,source_run
banana,20,0.1685405143248311,0.13817148261886694,13.099686681553921,0.00019607447514027299,5.858357980780641,5,equal_per_member__1_
banana,50,0.12662640790516394,0.09523240840117349,13.34604933686798,0.0001822458767406385,5.968534709660558,5,equal_per_member__1_
bimodal_gaussian,20,0.086763316766901,0.061397075441862035,22.680356656248854,2.2384329469213194e-05,10.142963847462452,5,equal_per_member__1_
bimodal_gaussian,50,0.0861391985398725,0.061288902232653444,42.73338970372526,1.792660575223827e-06,19.11095285730385,5,equal_per_member__1_
correlated_gaussian,20,0.08665310857944898,0.08074744861425626,4.4617120682787474,0.011145582485221382,1.9953382961404926,5,equal_per_member__1_
correlated_gaussian,50,0.08567723804093562,0.07115908550935847,21.069892987634738,2.9992185228214813e-05,9.42274259979948,5,equal_per_member__1_
funnel,20,0.0858356031272822,0.07363680934290646,10.32354332267838,0.0004967597469201944,4.6168289276345815,5,equal_per_member__1_
funnel,50,0.08703962790386137,0.07936401178149946,9.672531923174391,0.0006392353432466808,4.325687778950943,5,equal_per_member__1_
gaussian_ring,20,0.09591602609328104,0.06745720674160297,26.529341999118984,1.1998935737558127e-05,11.864282421674044,5,equal_per_member__1_
rosenbrock,20,0.11567937494351162,0.10372872197357474,6.713266488880879,0.002563044063042233,3.0022640440417963,5,equal_per_member__1_
rosenbrock,50,0.09775935811282592,0.08365893583496291,14.7543054471816,0.000122826411880672,6.598325988138699,5,equal_per_member__1_
