potential_fn,dimension,repeat,method,ESS,runtime_sec,ESS_per_sec,JS_distance,quality,budget,ablation,alphas
banana,20,0,flowMC-single,1944.1181274414062,16.225266456604004,119.8204129738721,0.17395044996078657,688.8192183514504,equal_per_member,"{""no_cov"": true}",
banana,20,0,flowMC-ensemble(M=5)-equal_per_member,9876.59833984375,83.42898988723755,118.38329042690005,0.13235536407702939,894.4351538181879,equal_per_member,"{""no_cov"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
banana,20,1,flowMC-single,1939.4831787109374,16.245113849639893,119.38870953212373,0.16437847179148254,726.3038050601343,equal_per_member,"{""no_cov"": true}",
banana,20,1,flowMC-ensemble(M=5)-equal_per_member,9752.543798828125,84.53600883483887,115.36555762742515,0.13449923613325115,857.7413593124805,equal_per_member,"{""no_cov"": true}","[0.19998591136904353, 0.19998591136904353, 0.19998591136904353, 0.19998591136904353, 0.20005635452382592]"
banana,20,2,flowMC-single,1931.7554504394532,16.999343395233154,113.63706265155768,0.16311944810346185,696.649381620523,equal_per_member,"{""no_cov"": true}",
banana,20,2,flowMC-ensemble(M=5)-equal_per_member,9854.752001953126,84.88986611366272,116.08867410343387,0.13878372564488783,836.4718093854548,equal_per_member,"{""no_cov"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
banana,20,3,flowMC-single,1957.6088806152343,16.522818326950073,118.47911426964087,0.17104565555029164,692.6753789125331,equal_per_member,"{""no_cov"": true}",
banana,20,3,flowMC-ensemble(M=5)-equal_per_member,9881.135546875,102.64616179466248,96.26405287946005,0.14264629740168439,674.8443852586345,equal_per_member,"{""no_cov"": true}","[0.16244754900441877, 0.16244754900441877, 0.16244754900441877, 0.16244754900441877, 0.3502098039823249]"
banana,20,4,flowMC-single,1936.9126708984375,16.792458057403564,115.34420180043142,0.1701119407478974,678.0488265157665,equal_per_member,"{""no_cov"": true}",
banana,20,4,flowMC-ensemble(M=5)-equal_per_member,9796.59833984375,84.75729084014893,115.58413727876223,0.13781866449404653,838.6682435437126,equal_per_member,"{""no_cov"": true}","[0.19999999999999993, 0.19999999999999993, 0.19999999999999993, 0.20000000000000043, 0.19999999999999993]"
bimodal_gaussian,20,0,flowMC-single,1943.3731689453125,16.99667000770569,114.338465597335,0.08413368950750637,1359.009289461076,equal_per_member,"{""no_cov"": true}",
bimodal_gaussian,20,0,flowMC-ensemble(M=5)-equal_per_member,9916.70712890625,87.7757179737091,112.97779565729712,0.06135567917501944,1841.358406856252,equal_per_member,"{""no_cov"": true}","[0.3139917035402621, 0.2496949853969938, 0.17421548359385036, 0.13510782331919988, 0.1269900041496936]"
bimodal_gaussian,20,1,flowMC-single,1948.4537292480468,17.652223825454712,110.38007157139906,0.0848526700996131,1300.84382072854,equal_per_member,"{""no_cov"": true}",
bimodal_gaussian,20,1,flowMC-ensemble(M=5)-equal_per_member,9847.279150390625,91.57902264595032,107.52767245028114,0.061529449806272785,1747.5805941518258,equal_per_member,"{""no_cov"": true}","[0.3398390898048455, 0.227908327880034, 0.13258899516823702, 0.1489411651287889, 0.15072242201809466]"
bimodal_gaussian,20,2,flowMC-single,1914.5144836425782,17.712411165237427,108.08886863466817,0.08775183574401882,1231.756210205956,equal_per_member,"{""no_cov"": true}",
bimodal_gaussian,20,2,flowMC-ensemble(M=5)-equal_per_member,9861.088330078124,93.55015921592712,105.4096370623734,0.06109056384175574,1725.465119873805,equal_per_member,"{""no_cov"": true}","[0.2537157330687778, 0.2209158164125322, 0.2691813860315959, 0.1487479506911402, 0.10743911379595396]"
bimodal_gaussian,20,3,flowMC-single,1948.9531188964843,18.58959984779358,104.84104740575187,0.08920233679955018,1175.3172749425164,equal_per_member,"{""no_cov"": true}",
bimodal_gaussian,20,3,flowMC-ensemble(M=5)-equal_per_member,9893.5869140625,96.2715654373169,102.76748767011881,0.0621772692865752,1652.814426385681,equal_per_member,"{""no_cov"": true}","[0.24078514353347827, 0.23432358331731282, 0.2733208173663888, 0.1406953634277048, 0.11087509235511538]"
bimodal_gaussian,20,4,flowMC-single,1956.2637023925781,17.313474655151367,112.99082023437282,0.08783842732843003,1286.3483975173801,equal_per_member,"{""no_cov"": true}",
bimodal_gaussian,20,4,flowMC-ensemble(M=5)-equal_per_member,9845.693994140625,89.90373492240906,109.51373713937357,0.06059947811345482,1807.1729418913658,equal_per_member,"{""no_cov"": true}","[0.18410316590266962, 0.295154621645007, 0.23184779533168928, 0.1861191570204201, 0.10277526010021407]"
funnel,20,0,flowMC-single,1918.0385681152343,17.90021014213562,107.15173469390336,0.08780138750854768,1220.3877152109,equal_per_member,"{""no_cov"": true}",
funnel,20,0,flowMC-ensemble(M=5)-equal_per_member,9849.751416015624,96.9952003955841,101.54885371486952,0.0709217412649775,1431.843774611556,equal_per_member,"{""no_cov"": true}","[0.2592734705825872, 0.2789844920528016, 0.18367524786714723, 0.1737321799919215, 0.10433460950554245]"
funnel,20,1,flowMC-single,1900.9028625488281,18.525688648223877,102.6090256963848,0.08537350437078425,1201.8837278922656,equal_per_member,"{""no_cov"": true}",
funnel,20,1,flowMC-ensemble(M=5)-equal_per_member,9904.453662109376,87.54672384262085,113.13334442890411,0.07071869875113117,1599.765640867289,equal_per_member,"{""no_cov"": true}","[0.2507741114420486, 0.2759247597454587, 0.2057320801973754, 0.16402140369751111, 0.10354764491760624]"
funnel,20,2,flowMC-single,1934.9232299804687,16.899372100830078,114.49675280452742,0.08750726571126072,1308.4256704160007,equal_per_member,"{""no_cov"": true}",
funnel,20,2,flowMC-ensemble(M=5)-equal_per_member,9829.604833984375,89.89891123771667,109.34064382595558,0.06911459510171822,1582.0195960785904,equal_per_member,"{""no_cov"": true}","[0.2728851157622664, 0.26477858799782544, 0.20343113315093708, 0.15016956943305199, 0.10873559365591925]"
