potential_fn,dimension,repeat,method,ESS,runtime_sec,ESS_per_sec,JS_distance,quality,budget,ablation,alphas
banana,20,0,flowMC-single,1944.1264099121092,16.781169652938843,115.85166291264088,0.1739290865608817,666.0856168648276,equal_total,{},
banana,20,0,flowMC-ensemble(M=5)-equal_total,1921.225067138672,111.84458827972412,17.177631002884773,0.1864148047428664,92.14735399679736,equal_total,{},"[0.19999999999999996, 0.19999999999999996, 0.19999999999999996, 0.20000000000000012, 0.19999999999999996]"
banana,20,1,flowMC-single,1939.6396606445312,18.196253776550293,106.59554897745852,0.1643937982096444,648.4158778393925,equal_total,{},
banana,20,1,flowMC-ensemble(M=5)-equal_total,1912.093792724609,84.61192107200623,22.5983971111752,0.1896854186070042,119.13618493783764,equal_total,{},"[0.2, 0.2, 0.2, 0.2, 0.2]"
banana,20,2,flowMC-single,1931.7515991210937,17.222047328948975,112.16736095446468,0.1631549198725842,687.4899086221963,equal_total,{},
banana,20,2,flowMC-ensemble(M=5)-equal_total,1940.4879333496092,94.38412761688232,20.5594731057568,0.1868185223622306,110.05050701500105,equal_total,{},"[0.2, 0.2, 0.2, 0.2, 0.2]"
banana,20,3,flowMC-single,1957.6148071289065,17.343276977539062,112.87456284439064,0.1710700289063564,659.8149516077892,equal_total,{},
banana,20,3,flowMC-ensemble(M=5)-equal_total,1934.0422668457031,83.09637141227722,23.27468978458853,0.1893458456893573,122.92157612358297,equal_total,{},"[0.19999999970419874, 0.19999999970419874, 0.19999999970419874, 0.19999999970419882, 0.20000000118320496]"
banana,20,4,flowMC-single,1937.0123168945315,17.137268781661987,113.02923129543622,0.1701547380746888,664.273193766855,equal_total,{},
banana,20,4,flowMC-ensemble(M=5)-equal_total,1953.5580444335935,83.27409195899963,23.45937371968507,0.1871543998340262,125.34770083144988,equal_total,{},"[0.1999999999998458, 0.1999999999998458, 0.1999999999998458, 0.2000000000006167, 0.1999999999998458]"
bimodal_gaussian,20,0,flowMC-single,1943.3724182128904,17.41884756088257,111.56722116204251,0.0842132048230385,1324.8186124312022,equal_total,{},
bimodal_gaussian,20,0,flowMC-ensemble(M=5)-equal_total,1959.6333251953124,85.33002400398254,22.96534365329432,0.1218354247162241,188.4947970328383,equal_total,{},"[0.2855192237705851, 0.11093069018200234, 0.25500855358719393, 0.20187685187960616, 0.1466646805806125]"
bimodal_gaussian,20,1,flowMC-single,1948.4528381347657,17.481181859970093,111.46001762023307,0.0847391745257728,1315.330462492684,equal_total,{},
bimodal_gaussian,20,1,flowMC-ensemble(M=5)-equal_total,1912.8016174316408,84.41943860054016,22.65830772084051,0.1205116744562387,188.0175329326156,equal_total,{},"[0.29201671990905353, 0.18262120816348504, 0.26075285218527, 0.15245282934844182, 0.11215639039374971]"
bimodal_gaussian,20,2,flowMC-single,1914.2709838867188,17.312453746795654,110.57190458868544,0.0878386610494678,1258.806808614887,equal_total,{},
bimodal_gaussian,20,2,flowMC-ensemble(M=5)-equal_total,1948.465185546875,84.59294748306274,23.03342351248605,0.1215628762962216,189.47744750921103,equal_total,{},"[0.31712207264827413, 0.13270851796594746, 0.25314225285825703, 0.1612035929576887, 0.13582356356983277]"
bimodal_gaussian,20,3,flowMC-single,1948.9527526855468,17.333277463912964,112.4399443061574,0.0891513847926845,1261.2248768499649,equal_total,{},
bimodal_gaussian,20,3,flowMC-ensemble(M=5)-equal_total,1949.5654663085936,84.23808550834656,23.14351584017689,0.1223162622529006,189.2104566793044,equal_total,{},"[0.137004022380456, 0.16047393643500107, 0.18647428421501652, 0.36491790597731044, 0.15112985099221593]"
bimodal_gaussian,20,4,flowMC-single,1956.2635803222656,17.235363721847534,113.50288928585286,0.0878741586435413,1291.652643256292,equal_total,{},
bimodal_gaussian,20,4,flowMC-ensemble(M=5)-equal_total,1941.1240783691403,83.85890650749207,23.147500476836267,0.118530187301286,195.287808142906,equal_total,{},"[0.26800331997037197, 0.27519088483031523, 0.2046285445167064, 0.13540477387869798, 0.1167724768039084]"
funnel,20,0,flowMC-single,1918.0382507324216,17.168781757354736,111.71661902631942,0.0878162267851773,1272.163734609198,equal_total,{},
funnel,20,0,flowMC-ensemble(M=5)-equal_total,1967.9205505371092,94.3124499320984,20.86596787543895,0.1430601093155134,145.85455005783535,equal_total,{},"[0.2903077959917019, 0.22415075696188266, 0.23649914708618636, 0.12651263484216918, 0.12252966511805982]"
